             NIP:6412472651             
dn.16r07.02                    wydr.0888
             #NIEFISKALNY#
  R A P O R T   S Z C Z E G Ó £ O W Y 
           S P R Z E D A ¯ Y 
od 16r06.01 g.18:10  do 16r07.02 g.13:37
-NR-----NAZWA TOWARU--------------------
------ILO¦Æ----------------------KWOTA--
0001 YOPE KOSMETYKI                    
         30                       575,92
0002 HERBATA                           
        120                     1.037,95
0003 SOK                               
          6                        30,20
0004 OLD SPICE KOSMETYK                
          1                        13,41
0005 KOSMETYKI DO BRODY                
          5                       206,20
0006 BOLES£AWIEC                       
          6                       153,00
0007 GARNIER FARBA                     
          1                         9,99
0008 WODA TOALETOWA                    
      15,00                       303,30
0010 L BIOTICA                         
       6,00                        80,90
0012 RECEPTY BABCI AGAFII              
     11,000                       120,70
0013 OLEJ                              
         15                       351,20
0017 LIRENE PODK£AD                    
          1                        13,90
0025 DC PERFECTA                       
         28                       405,84
0031 EVELINE KOSMETYKI                 
         12                       135,43
0038 ZIAJA KOSMETYKI                   
         59                       538,48
0058 OLEOFARM                          
         10                       179,20
0063 JOANNA SZAMPON                    
          7                        56,30
0064 JOANNA OD¯YWKA                    
          2                        25,10
0066 PODPASKI                          
          2                         6,90
0075 VAX OD¯YWKA,SZAMPO                
         47                       740,98
0084 TAFT LAKIER                       
          1                        10,80
0090 LAKIER DO W£OSÓW                  
          1                         7,60
0096 ¯EL POD PRYSZNIC                  
          8                        47,47
0097 MYD£O W P£YNIE                    
          3                        11,10
0099 MYD£O                             
          2                         9,60
0100 DEZODORANT                        
          8                        77,70
0101 DEO ROLL ON                       
          1                        10,03
0102 DEO SZTYFT                        
          1                         1,50
0103 LAKIER DO PAZNOKCI                
         56                       339,02
0104 ZMYWACZ DO PAZNOKC                
          5                        16,80
0106 YARDLEY PUDER                     
          1                        15,90
0108 L BIOTICA KOSMETYK                
          3                        42,56
0110 LUMENE KOSMETYKI                  
         24                       891,81
0114 LUMENE TUSZ                       
          1                        39,90
0115 LUMENE PUDER                      
          1                        59,90
0117 LUMENE ZMYWACZ                    
          2                        36,00
0123 JOANNA FARBA                      
         16                       108,40
0132 ZDROWA ¯YWNO¦Æ 5                  
          7                        29,55
0134 ZDROWA ¯YWNO¦Æ 23                 
         19                       238,70
0141 POMADKA OCHRONNA                  
       2,00                        22,20
0143 TUSZ DO RZÊS                      
          1                        15,90
0149 OL VITA 23                        
          3                        46,90
0150 SZAMPON KOLORYZUJ¡                
         15                        66,40
0151 SZAMPONETKA KOLOR.                
          5                        16,00
0152 ROZJA¦NIACZ                       
          1                         9,90
0156 KOSMETYCZKA                       
